Well;Depth;GR;NPHI;RHOB;PEF;DT;RD_LOG;VSH;SW;KLOGH;PHIF;PHID;N-D;Id_discreto;Lithofacies
F-14;3037.25;49.4270;0.1870;2.4120;3.7860;74.2900;1.0783;0.3740;0.0370;1.8060;0.1363;0.1363;0.0500;2;F-TIDAL FLAT MUDDY
F-14;3037.50;52.0200;0.1800;2.5050;4.0520;73.0240;1.0214;0.3990;0.0570;0.6660;0.0831;0.0831;0.0970;2;F-TIDAL FLAT MUDDY
F-14;3037.75;53.9430;0.1920;2.5630;4.6820;74.0960;1.2361;0.4140;0.0310;0.0580;0.0495;0.0495;0.1430;2;F-TIDAL FLAT MUDDY
F-14;3038.00;55.8670;0.2040;2.6220;5.3130;75.1690;1.3791;0.4240;0.0130;0.0160;0.0158;0.0158;0.1880;2;F-TIDAL FLAT MUDDY
F-14;3038.25;58.6500;0.2000;2.5760;5.2190;73.1740;1.5394;0.4560;0.0160;0.0130;0.0423;0.0423;0.1580;2;F-TIDAL FLAT MUDDY
F-14;3038.50;61.4330;0.1960;2.5300;5.1250;71.1790;1.6563;0.4910;0.0120;0.0090;0.0687;0.0687;0.1270;2;F-TIDAL FLAT MUDDY
F-14;3038.75;65.6080;0.2020;2.4830;4.2230;73.4740;1.4670;0.5070;0.0330;0.0120;0.0953;0.0953;0.1070;2;F-TIDAL FLAT MUDDY
F-14;3039.00;69.7820;0.2090;2.4370;3.3210;75.7700;1.1238;0.5410;0.0590;0.0130;0.1219;0.1219;0.0870;2;F-TIDAL FLAT MUDDY
F-14;3039.25;70.5520;0.2140;2.4210;3.4690;76.2440;1.0129;0.5610;0.0510;0.0090;0.1309;0.1309;0.0830;2;F-TIDAL FLAT MUDDY
F-14;3039.50;71.3220;0.2190;2.4050;3.6170;76.7190;0.8637;0.5680;0.0640;0.0090;0.1398;0.1398;0.0800;2;F-TIDAL FLAT MUDDY
F-14;3039.75;70.5270;0.2030;2.4950;3.7410;79.6400;0.8392;0.5930;0.0720;0.0060;0.0885;0.0885;0.1140;2;F-TIDAL FLAT MUDDY
F-14;3040.00;69.7320;0.1860;2.5850;3.8650;82.5610;0.8134;0.5960;0.0690;0.0020;0.0371;0.0371;0.1490;7;F-OFFSHORE
F-14;3040.25;68.8190;0.1890;2.6020;4.3590;80.3270;0.8211;0.5550;0.0240;0.0020;0.0275;0.0275;0.1610;7;F-OFFSHORE
F-14;3040.50;67.9060;0.1920;2.6190;4.8520;78.0930;0.8286;0.5450;0.0120;0.0020;0.0180;0.0180;0.1740;7;F-OFFSHORE
F-14;3040.75;67.1860;0.1930;2.5780;4.3830;79.5040;0.8557;0.5470;0.0210;0.0020;0.0410;0.0410;0.1520;7;F-OFFSHORE
F-14;3041.00;66.4670;0.1940;2.5380;3.9140;80.9150;0.8812;0.5450;0.0430;0.0030;0.0639;0.0639;0.1300;7;F-OFFSHORE
F-14;3041.25;62.4740;0.1990;2.4890;3.9980;81.0240;1.0403;0.5230;0.0590;0.0090;0.0923;0.0923;0.1060;7;F-OFFSHORE
F-14;3041.50;58.4810;0.2040;2.4390;4.0830;81.1330;1.1565;0.4650;0.0590;0.0600;0.1207;0.1207;0.0830;7;F-OFFSHORE
F-14;3041.75;50.5870;0.2220;2.3300;3.6210;81.4250;1.3003;0.4140;0.0570;0.3530;0.1829;0.1829;0.0390;7;F-OFFSHORE
F-14;3042.00;42.6930;0.2390;2.2210;3.1600;81.7170;1.4081;0.3640;0.0440;3.7340;0.2451;0.2451;-0.0060;1;F-TIDAL BAR
F-14;3042.25;40.5020;0.2360;2.1790;2.9960;86.7450;2.0523;0.3140;0.0450;20.9780;0.2694;0.2694;-0.0330;1;F-TIDAL BAR
F-14;3042.50;38.3100;0.2330;2.1360;2.8320;91.7730;2.3010;0.2860;0.0150;45.4240;0.2937;0.2937;-0.0600;1;F-TIDAL BAR
F-14;3042.75;37.7070;0.2300;2.1360;2.8290;89.9780;2.3010;0.2870;0.0050;45.4660;0.2937;0.2937;-0.0640;1;F-TIDAL BAR
F-14;3043.00;37.1050;0.2270;2.1360;2.8250;88.1820;2.3010;0.2820;0.0050;51.8380;0.2936;0.2936;-0.0670;1;F-TIDAL BAR
F-14;3043.25;37.0940;0.2250;2.1420;3.0360;89.1990;2.3010;0.2840;0.0050;46.4550;0.2905;0.2905;-0.0660;1;F-TIDAL BAR
F-14;3043.50;37.0830;0.2230;2.1470;3.2460;90.2160;2.3010;0.2890;0.0050;38.7110;0.2873;0.2873;-0.0640;1;F-TIDAL BAR
F-14;3043.75;32.3320;0.2170;2.1420;3.1450;86.0050;2.3010;0.2640;0.0050;70.8550;0.2904;0.2904;-0.0740;1;F-TIDAL BAR
F-14;3044.00;27.5810;0.2100;2.1360;3.0430;81.7950;2.3010;0.2120;0.0050;185.3430;0.2935;0.2935;-0.0830;1;F-TIDAL BAR
F-14;3044.25;29.8190;0.2100;2.1410;2.9390;83.0050;2.3010;0.2040;0.0050;208.6860;0.2910;0.2910;-0.0810;1;F-TIDAL BAR
F-14;3044.50;32.0570;0.2100;2.1450;2.8350;84.2140;2.3010;0.2310;0.0050;118.0610;0.2885;0.2885;-0.0790;1;F-TIDAL BAR
F-14;3044.75;32.6540;0.2160;2.1420;2.8610;88.0880;2.0622;0.2320;0.0050;113.3140;0.2906;0.2906;-0.0750;1;F-TIDAL BAR
F-14;3045.00;33.2510;0.2210;2.1380;2.8870;91.9620;1.4883;0.2420;0.0080;91.4090;0.2927;0.2927;-0.0710;1;F-TIDAL BAR
F-14;3045.25;35.3960;0.2220;2.1420;2.8140;91.5900;1.3903;0.2470;0.0290;93.9940;0.2902;0.2902;-0.0690;1;F-TIDAL BAR
F-14;3045.50;37.5410;0.2220;2.1460;2.7400;91.2180;1.2636;0.2560;0.0330;79.6640;0.2878;0.2878;-0.0660;1;F-TIDAL BAR
F-14;3045.75;37.5840;0.2180;2.1730;2.8790;87.8530;1.2678;0.2920;0.0360;36.9520;0.2723;0.2723;-0.0550;1;F-TIDAL BAR
F-14;3046.00;37.6280;0.2140;2.2000;3.0190;84.4870;1.2719;0.3100;0.0390;21.4260;0.2569;0.2569;-0.0430;1;F-TIDAL BAR
F-14;3046.25;31.5840;0.1950;2.2760;3.3900;82.0230;1.2924;0.2730;0.0400;27.3800;0.2135;0.2135;-0.0190;3;F-TIDAL CHANNEL
F-14;3046.50;25.5390;0.1760;2.3520;3.7620;79.5580;1.3120;0.2210;0.0460;35.3000;0.1701;0.1701;0.0050;3;F-TIDAL CHANNEL
F-14;3046.75;22.2940;0.1770;2.3620;3.8970;80.4830;1.3659;0.1450;0.0330;163.4600;0.1645;0.1645;0.0130;3;F-TIDAL CHANNEL
F-14;3047.00;19.0490;0.1790;2.3720;4.0320;81.4070;1.4138;0.1090;0.0290;273.4980;0.1590;0.1590;0.0200;3;F-TIDAL CHANNEL
F-14;3047.25;18.8060;0.1800;2.3690;4.0820;83.2110;1.4779;0.1260;0.0260;193.7090;0.1607;0.1607;0.0190;3;F-TIDAL CHANNEL
F-14;3047.50;18.5630;0.1800;2.3660;4.1320;85.0150;1.5337;0.1310;0.0250;165.8020;0.1625;0.1625;0.0180;3;F-TIDAL CHANNEL
F-14;3047.75;18.0290;0.1890;2.3110;3.7810;85.1750;1.5894;0.1170;0.0240;265.5840;0.1939;0.1939;-0.0050;3;F-TIDAL CHANNEL
F-14;3048.00;17.4950;0.1970;2.2560;3.4300;85.3350;1.6387;0.1110;0.0210;439.5310;0.2254;0.2254;-0.0290;3;F-TIDAL CHANNEL
F-14;3048.25;16.5040;0.1940;2.2340;3.1900;85.8270;1.6603;0.1050;0.0280;741.9780;0.2375;0.2375;-0.0440;3;F-TIDAL CHANNEL
F-14;3048.50;15.5140;0.1910;2.2130;2.9500;86.3200;1.6808;0.0940;0.0210;1028.4560;0.2497;0.2497;-0.0590;3;F-TIDAL CHANNEL
F-14;3048.75;16.6150;0.1910;2.2110;2.8340;87.1240;1.6846;0.1010;0.0170;987.1030;0.2507;0.2507;-0.0600;3;F-TIDAL CHANNEL
F-14;3049.00;17.7170;0.1910;2.2100;2.7180;87.9280;1.6883;0.1120;0.0150;784.2330;0.2517;0.2517;-0.0610;3;F-TIDAL CHANNEL
F-14;3049.25;16.1810;0.1940;2.2060;2.8340;87.8780;1.6877;0.1010;0.0150;1020.9510;0.2540;0.2540;-0.0600;3;F-TIDAL CHANNEL
