Well;Depth;GR;NPHI;RHOB;PEF;DT;RD_LOG;VSH;SW;KLOGH;PHIF;PHID;N-D;Cluster_all;PCA_1;PCA_2;Id_discreto;Lithofacies
F-4;3276.75;35.6540;0.2150;2.1961;3.0024;87.0825;1.0374;0.207;0.197;120.097;0.247;0.259;-0.044;3;0.8108;0.0007;6;F-LOWER SHOREFACE
F-4;3277.00;36.5892;0.2261;2.1726;2.9982;87.0341;1.0259;0.216;0.192;119.890;0.259;0.273;-0.047;1;1.1059;-0.0072;6;F-LOWER SHOREFACE
F-4;3277.25;37.7777;0.2267;2.1697;3.0259;88.3189;1.0113;0.213;0.189;146.550;0.265;0.274;-0.048;3;1.2443;-0.0284;6;F-LOWER SHOREFACE
F-4;3277.50;38.9662;0.2273;2.1668;3.0099;89.6037;0.9962;0.219;0.198;116.455;0.261;0.276;-0.049;7;1.3827;-0.0504;6;F-LOWER SHOREFACE
F-4;3277.75;40.5217;0.2224;2.1789;2.9201;90.3328;0.9914;0.238;0.200;81.522;0.269;0.269;-0.047;7;1.3070;0.0025;6;F-LOWER SHOREFACE
F-4;3278.00;42.0772;0.2174;2.1910;2.9512;91.0619;0.9866;0.249;0.217;51.782;0.259;0.262;-0.045;7;1.2299;-0.0523;6;F-LOWER SHOREFACE
F-4;3278.25;44.1115;0.2244;2.2035;3.1739;91.0866;0.9637;0.243;0.226;53.181;0.253;0.255;-0.031;7;1.2653;-0.2794;6;F-LOWER SHOREFACE
F-4;3278.50;46.1457;0.2314;2.2161;3.1554;91.1113;0.9396;0.244;0.232;49.805;0.251;0.248;-0.017;7;1.3002;-0.2891;6;F-LOWER SHOREFACE
F-4;3278.75;55.5940;0.2261;2.3392;3.1379;88.4035;0.9539;0.285;0.265;18.351;0.246;0.178;0.049;7;0.2947;-0.2811;6;F-LOWER SHOREFACE
F-4;3279.00;65.0424;0.2208;2.4623;3.2973;85.6958;0.9678;0.359;0.302;1.341;0.200;0.107;0.114;2;-0.7108;-0.4260;6;F-LOWER SHOREFACE
F-4;3279.25;64.6120;0.2287;2.3994;4.0302;84.2079;0.9682;0.404;0.728;0.048;0.092;0.143;0.086;7;-0.3608;-1.1016;6;F-LOWER SHOREFACE
F-4;3279.50;64.1817;0.2366;2.3364;3.7529;82.7200;0.9686;0.407;0.721;0.149;0.132;0.179;0.057;7;-0.0102;-0.8457;6;F-LOWER SHOREFACE
F-4;3279.75;55.7678;0.2512;2.2357;3.2131;83.6914;1.1233;0.370;0.364;2.272;0.253;0.237;0.014;3;0.8534;-0.1912;1;F-TIDAL BAR
F-4;3280.00;47.3538;0.2659;2.1350;2.8606;84.6628;1.2372;0.303;0.238;24.547;0.284;0.294;-0.028;1;1.7185;0.2641;1;F-TIDAL BAR
F-4;3280.25;37.7281;0.2495;2.1329;2.9340;84.8215;1.2622;0.230;0.125;159.801;0.290;0.295;-0.046;1;1.4879;0.3185;1;F-TIDAL BAR
F-4;3280.50;28.1024;0.2332;2.1308;3.0401;84.9801;1.2859;0.174;0.096;636.280;0.289;0.297;-0.063;3;1.2587;0.5857;1;F-TIDAL BAR
F-4;3280.75;27.9620;0.2282;2.1243;3.0526;87.7129;1.2814;0.161;0.105;730.705;0.281;0.300;-0.072;3;1.4587;0.6372;1;F-TIDAL BAR
F-4;3281.00;27.8215;0.2233;2.1178;3.0451;90.4456;1.2769;0.164;0.116;695.986;0.281;0.304;-0.081;3;1.6602;0.6148;1;F-TIDAL BAR
F-4;3281.25;27.7812;0.2204;2.1248;3.0125;89.5317;1.2184;0.156;0.129;871.376;0.282;0.300;-0.080;3;1.4986;0.7114;1;F-TIDAL BAR
F-4;3281.50;27.7408;0.2176;2.1317;3.0279;88.6179;1.1507;0.155;0.144;790.830;0.276;0.296;-0.079;3;1.3391;0.5713;1;F-TIDAL BAR
F-4;3281.75;29.1236;0.2305;2.1334;3.0313;91.0464;1.1558;0.163;0.149;637.272;0.276;0.295;-0.065;3;1.7290;0.4634;1;F-TIDAL BAR
F-4;3282.00;30.5064;0.2434;2.1351;3.0475;93.4749;1.1609;0.173;0.150;459.730;0.272;0.294;-0.051;3;2.1188;0.3266;1;F-TIDAL BAR
F-4;3282.25;31.5199;0.2285;2.1384;3.0320;92.9887;1.1797;0.175;0.144;517.818;0.281;0.292;-0.064;3;1.8426;0.4014;1;F-TIDAL BAR
F-4;3282.50;32.5334;0.2136;2.1418;3.0268;92.5025;1.1977;0.180;0.143;409.023;0.276;0.290;-0.077;3;1.5659;0.3464;1;F-TIDAL BAR
F-4;3282.75;31.4585;0.2124;2.1420;3.0495;91.7096;1.2158;0.186;0.145;305.820;0.268;0.290;-0.078;3;1.4770;0.2699;1;F-TIDAL BAR
F-4;3283.00;30.3835;0.2113;2.1421;3.0349;90.9166;1.2332;0.177;0.142;441.703;0.276;0.290;-0.079;3;1.3901;0.3981;1;F-TIDAL BAR
F-4;3283.25;29.8835;0.2097;2.1666;3.0358;89.8692;1.2384;0.176;0.145;469.297;0.276;0.276;-0.067;3;1.1339;0.4223;1;F-TIDAL BAR
F-4;3283.50;29.3836;0.2082;2.1911;3.0642;88.8217;1.2436;0.171;0.152;405.997;0.262;0.262;-0.054;3;0.8791;0.3561;1;F-TIDAL BAR
F-4;3283.75;31.4696;0.2112;2.1812;3.0214;89.1139;1.2435;0.168;0.161;334.137;0.247;0.268;-0.057;3;1.0090;0.3440;1;F-TIDAL BAR
F-4;3284.00;33.5555;0.2143;2.1713;2.9963;89.4062;1.2435;0.188;0.164;207.219;0.250;0.274;-0.059;1;1.1405;0.2762;1;F-TIDAL BAR
F-4;3284.25;31.8468;0.2285;2.1633;3.0015;87.3905;1.2348;0.193;0.161;231.273;0.263;0.278;-0.050;3;1.2168;0.2799;1;F-TIDAL BAR
F-4;3284.50;30.1381;0.2427;2.1553;3.0334;85.3749;1.2259;0.181;0.155;394.144;0.275;0.283;-0.040;3;1.2931;0.3581;1;F-TIDAL BAR
F-4;3284.75;29.0416;0.2305;2.1529;3.0431;86.2743;1.2210;0.162;0.156;594.011;0.270;0.284;-0.054;3;1.2048;0.4873;1;F-TIDAL BAR
F-4;3285.00;27.9452;0.2184;2.1505;3.0334;87.1738;1.2159;0.156;0.155;683.688;0.270;0.285;-0.067;3;1.1179;0.5553;1;F-TIDAL BAR
F-4;3285.25;28.4978;0.2272;2.1384;3.0473;89.5492;1.1668;0.168;0.149;564.960;0.276;0.292;-0.065;3;1.5218;0.4080;1;F-TIDAL BAR
F-4;3285.50;29.0504;0.2359;2.1262;3.1500;91.9247;1.1114;0.170;0.151;592.863;0.281;0.299;-0.063;3;1.9248;0.2776;1;F-TIDAL BAR
F-4;3285.75;33.4084;0.2314;2.2002;3.1589;87.4764;1.0353;0.167;0.162;657.745;0.283;0.257;-0.026;3;1.0558;0.2392;1;F-TIDAL BAR
F-4;3286.00;37.7665;0.2269;2.2741;3.0278;83.0282;0.9431;0.188;0.181;257.977;0.257;0.215;0.012;6;0.1873;-0.0191;1;F-TIDAL BAR
F-4;3286.25;40.7382;0.2111;2.3550;3.0045;80.3359;1.0724;0.230;0.203;40.299;0.210;0.169;0.043;3;-0.7375;-0.0231;1;F-TIDAL BAR
F-4;3286.50;43.7099;0.1953;2.4358;3.9649;77.6437;1.1720;0.250;0.324;9.846;0.169;0.122;0.073;3;-1.6617;-0.8291;1;F-TIDAL BAR
